host_ts,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data
1788817292.453727,CSI_DATA,21550,1a:00:00:00:00:00,0,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105400052,0,47,1,256,1,47 -16 2 0 60 80 60 87 48 79 50 70 57 77 53 82 50 75 48 61 52 56 64 57 68 53 70 60 69 71 69 75 78 72 75 66 60 72 48 73 43 65 45 61 40 50 39 31 48 25 46 35 39 42 9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 10 13 36 20 30 23 39 16 43 14 41 28 53 38 53 32 45 26 52 36 60 45 75 41 86 38 81 35 80 25 88 17 95 27 86 32 70 23 71 16 76 17 76 22 68 30 63 42 71 51 76 57 77 1 24 10 83 7 89 5 91 7 83 13 76 21 80 24 86 22 72 20 58 21 45 20 40 19 43 19 63 20 80 22 92 24 85 21 80 18 78 18 76 21 69 19 65 10 56 6 46 7 42 3 41 -2 41 -25 20 -25 15 -6 2 -2 0 0 -1 0 -2 -1 0 -2 1 -4 6 -14 37 -8 32 8 33 5 35 2 43 -4 46 -2 47 6 53 10 55 4 56 -4 62 -8 66 -7 72 -8 73 -9 71 -11 75 -15 78 -23 80 -23 78 -19 73 -14 72 -9 73 -5 73 -2 75 -1 73 -2 77 0 81 3 84
1788817292.464757,CSI_DATA,21551,1a:00:00:00:00:00,0,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105407851,0,47,1,256,1,47 -16 2 0 -70 -57 -83 -56 -87 -63 -77 -60 -72 -58 -73 -63 -65 -61 -59 -53 -63 -54 -68 -58 -65 -55 -63 -55 -69 -55 -82 -54 -84 -55 -76 -59 -67 -61 -60 -61 -52 -57 -48 -53 -47 -45 -42 -38 -35 -35 -28 -29 -25 -24 -7 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -9 -29 -25 -26 -18 -28 -32 -34 -43 -35 -33 -38 -27 -44 -29 -47 -31 -52 -42 -52 -59 -47 -74 -44 -79 -40 -74 -39 -63 -47 -62 -55 -69 -49 -65 -44 -57 -45 -58 -46 -62 -44 -64 -41 -65 -46 -72 -58 -78 -60 -75 -53 -70 -21 -1 -65 -7 -73 -9 -76 -9 -73 -9 -68 -7 -62 -5 -60 -5 -59 -4 -62 0 -65 -1 -64 -3 -61 1 -59 1 -62 1 -68 2 -72 2 -70 -3 -66 -7 -62 -8 -54 -3 -49 -2 -46 -4 -42 -2 -40 -4 -36 -10 -35 -13 -33 0 -33 -4 -7 -1 -3 -1 0 -1 1 -1 -1 -1 -3 -1 -7 0 -38 9 -31 13 -25 3 -33 3 -39 -3 -44 -11 -45 -9 -44 -6 -43 -5 -46 -8 -50 -12 -53 -20 -56 -25 -56 -26 -53 -26 -56 -25 -58 -28 -61 -34 -64 -33 -61 -28 -56 -25 -53 -24 -53 -23 -54 -22 -56 -25 -61 -28 -65 -25 -65 -20
1788817292.474632,CSI_DATA,21552,1a:00:00:00:00:00,-1,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105417811,0,47,1,256,1,47 -16 2 0 39 -91 34 -100 34 -103 35 -89 36 -80 41 -82 43 -81 36 -75 18 -81 4 -94 3 -91 6 -87 13 -95 21 -104 23 -100 20 -89 21 -80 29 -72 33 -64 31 -65 22 -65 12 -56 9 -43 4 -33 4 -32 2 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -8 17 -30 8 -27 22 -36 35 -45 26 -38 18 -36 28 -41 40 -47 44 -60 44 -68 43 -72 42 -77 41 -76 40 -71 48 -75 63 -79 60 -64 48 -54 50 -56 56 -57 53 -51 49 -47 43 -60 35 -84 35 -93 39 -83 22 -9 70 -40 69 -43 65 -48 60 -52 58 -52 57 -52 54 -53 57 -53 56 -50 52 -48 50 -47 50 -44 52 -44 51 -51 50 -57 53 -60 53 -54 53 -50 57 -48 51 -47 47 -46 43 -38 39 -28 36 -23 33 -18 33 -17 40 9 38 12 7 2 2 1 -1 0 -2 -1 0 0 2 0 6 2 40 9 35 7 21 -15 23 -14 33 -16 44 -17 45 -17 43 -22 46 -27 51 -27 56 -29 59 -24 59 -17 56 -12 56 -11 63 -13 66 -16 69 -17 72 -15 66 -14 62 -19 63 -24 63 -27 61 -25 58 -26 59 -30 63 -30 64 -26
1788817292.4836621,CSI_DATA,21553,1a:00:00:00:00:00,0,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105427840,0,47,1,256,1,47 -16 2 0 47 100 45 92 37 76 40 83 42 87 38 80 42 82 43 75 36 66 36 72 36 77 42 83 44 84 40 85 55 98 56 94 33 81 20 71 16 66 17 71 17 61 26 47 33 49 16 52 6 55 2 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 13 29 20 31 26 37 23 41 20 44 28 57 39 59 41 49 38 50 39 58 35 78 22 92 20 89 24 88 21 89 15 94 21 95 26 84 20 76 9 71 7 71 14 74 18 69 22 75 30 87 36 96 -2 32 -2 80 -5 70 -8 53 -10 37 -7 36 -3 53 -2 70 -1 81 -1 77 0 80 0 77 -3 75 -2 76 2 82 6 76 12 74 13 74 5 76 0 71 -5 74 -9 72 -12 64 -7 52 -2 51 -7 43 -12 34 -14 12 -10 6 -2 1 -1 -1 1 -1 0 -2 -1 0 -2 1 -3 4 -13 22 -6 19 2 17 1 21 1 29 -2 37 -1 41 3 49 3 53 -4 55 -14 56 -19 59 -22 66 -24 65 -28 62 -25 64 -28 70 -27 73 -23 77 -20 71 -18 66 -16 61 -17 63 -16 70 -18 74 -20 76 -19 77 -15 74
1788817292.493978,CSI_DATA,21554,1a:00:00:00:00:00,-1,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105438085,0,47,1,256,1,47 -16 2 0 -84 43 -77 52 -71 63 -71 56 -76 45 -78 44 -74 43 -68 46 -71 56 -71 61 -62 51 -60 37 -67 43 -68 63 -77 70 -91 57 -87 44 -72 36 -66 29 -64 28 -59 27 -57 28 -55 33 -38 28 -25 18 -6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 7 -29 28 -25 27 -37 26 -47 26 -45 24 -45 28 -49 32 -49 32 -57 34 -74 32 -86 28 -87 24 -79 18 -67 15 -69 21 -84 28 -85 25 -78 18 -76 18 -73 17 -69 15 -71 15 -77 20 -80 32 -81 36 -82 29 -11 15 -42 47 -44 52 -45 57 -47 59 -49 57 -46 52 -42 54 -38 57 -36 65 -36 69 -35 64 -31 56 -35 57 -36 48 -34 44 -37 40 -39 30 -38 21 -38 22 -40 35 -43 47 -40 38 -34 36 -35 38 -31 35 -23 31 1 35 7 31 1 5 1 1 0 -1 0 -2 -1 -1 -3 3 -5 8 -21 43 -14 36 -14 20 -14 22 -21 22 -27 28 -28 36 -29 42 -31 40 -32 41 -40 42 -51 42 -57 42 -52 39 -50 38 -50 37 -53 37 -56 39 -57 42 -53 42 -52 39 -52 35 -53 38 -53 40 -53 44 -53 49 -56 48 -55 41
1788817292.504411,CSI_DATA,21555,1a:00:00:00:00:00,0,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105448778,0,47,1,256,1,47 -16 2 0 -20 -104 -25 -52 -25 12 -22 -35 -22 -90 -20 -94 -16 -90 -17 -79 -32 -79 -43 -88 -38 -87 -33 -85 -33 -94 -30 -103 -26 -95 -25 -85 -25 -86 -20 -85 -17 -77 -17 -75 -19 -74 -21 -63 -13 -45 -10 -33 -14 -31 -4 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -9 -3 -27 -13 -23 -9 -39 -1 -53 -4 -46 -6 -42 -3 -52 -4 -64 -6 -79 -5 -87 -6 -87 -9 -89 -10 -89 -10 -87 -2 -31 10 25 11 -26 4 -78 4 -80 4 -84 3 -80 6 -74 -1 -81 -18 -98 -24 -105 -19 -93 17 -11 45 -47 40 -55 39 -39 41 -17 38 -24 35 -43 33 -46 35 -47 35 -53 29 -61 27 -63 27 -60 29 -59 29 -65 28 -69 31 -66 33 -58 31 -55 33 -52 28 -47 27 -45 23 -39 21 -33 20 -31 19 -28 19 -26 32 -6 26 -2 5 0 1 0 -1 -1 -2 -1 -1 0 2 1 6 1 36 3 29 -2 12 -20 15 -16 22 -19 30 -19 30 -18 29 -21 31 -27 31 -31 33 -35 38 -35 40 -36 40 -33 40 -32 47 -33 54 -18 61 0 56 -13 47 -26 42 -27 40 -30 39 -33 43 -36 40 -41 37 -49 37 -52 40 -47
1788817292.515438,CSI_DATA,21556,1a:00:00:00:00:00,-1,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105457879,0,47,1,256,1,47 -16 2 0 -80 -59 -82 -44 -81 -29 -75 -32 -77 -37 -84 -39 -84 -42 -86 -44 -91 -41 -88 -33 -77 -28 -70 -27 -76 -26 -86 -27 -93 -38 -93 -52 -82 -46 -69 -35 -62 -32 -63 -29 -61 -24 -63 -26 -68 -31 -51 -24 -33 -18 -8 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -7 -41 -23 -30 -23 -35 -37 -49 -49 -43 -47 -34 -37 -47 -28 -57 -26 -61 -34 -66 -56 -64 -78 -58 -81 -51 -73 -44 -61 -48 -55 -54 -65 -43 -73 -38 -68 -46 -56 -48 -50 -47 -56 -52 -64 -58 -66 -64 -60 -67 -51 -63 -48 0 -28 -12 -81 -14 -78 -15 -68 -15 -54 -18 -49 -23 -57 -30 -62 -29 -63 -31 -60 -28 -59 -23 -59 -18 -55 -16 -59 -20 -63 -28 -65 -32 -67 -30 -69 -26 -67 -24 -65 -23 -54 -22 -49 -18 -42 -13 -42 -15 -43 -10 -37 -6 -29 20 -30 17 -21 1 -4 0 0 0 -1 -1 1 0 0 1 -3 1 -6 12 -35 9 -30 -9 -18 -5 -21 -2 -32 -2 -41 -3 -45 -6 -47 -10 -45 -11 -44 -10 -47 -8 -55 -2 -62 5 -66 10 -64 16 -66 16 -62 13 -65 11 -70 6 -66 -1 -58 -7 -57 -8 -57 -7 -62 -7 -64 -7 -65 -5 -65 -6 -66
1788817292.526183,CSI_DATA,21557,1a:00:00:00:00:00,0,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105469048,0,47,1,256,1,47 -16 2 0 -101 26 -96 19 -89 4 -85 4 -87 15 -90 22 -87 29 -89 35 -96 33 -92 29 -81 24 -79 14 -86 12 -97 23 -103 40 -98 44 -84 28 -75 15 -72 13 -72 14 -69 11 -60 15 -51 25 -45 18 -47 7 -13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -2 -26 -4 -28 1 -44 5 -50 5 -48 10 -54 17 -56 19 -52 17 -64 11 -83 6 -89 -4 -91 -11 -91 -9 -84 -8 -84 -16 -91 -24 -89 -17 -82 -2 -76 -5 -75 -14 -75 -7 -80 3 -91 2 -99 0 -96 0 -88 0 -22 -11 -76 -31 -75 -32 -69 -32 -69 -33 -72 -31 -75 -25 -73 -16 -72 -16 -71 -14 -74 -15 -73 -18 -69 -23 -73 -29 -78 -29 -83 -24 -84 -18 -76 -15 -71 -20 -69 -23 -65 -20 -59 -19 -48 -18 -40 -17 -38 -12 -34 -15 -32 -21 -17 -26 -12 -21 -1 -3 -1 -1 -1 0 0 1 -1 -1 -1 -2 -2 -7 -16 -35 -19 -30 -26 -15 -27 -18 -33 -20 -35 -24 -37 -20 -44 -14 -49 -13 -49 -17 -51 -25 -52 -31 -56 -37 -58 -40 -56 -41 -56 -49 -55 -54 -56 -56 -56 -52 -53 -42 -52 -37 -54 -36 -54 -34 -59 -33 -64 -33 -67 -37 -67 -41 -66 -41
1788817292.5371342,CSI_DATA,21558,1a:00:00:00:00:00,0,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105477954,0,47,1,256,1,47 -16 2 0 -38 -99 -39 -91 -40 -74 -42 -76 -44 -84 -43 -83 -43 -82 -45 -78 -49 -72 -56 -69 -55 -64 -52 -66 -51 -71 -51 -76 -63 -90 -62 -96 -45 -87 -35 -73 -32 -63 -33 -63 -32 -55 -39 -45 -46 -46 -31 -45 -16 -45 -4 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -9 -13 -32 -11 -35 -12 -47 -12 -55 -8 -57 -10 -59 -24 -58 -29 -54 -25 -59 -29 -73 -27 -90 -17 -94 -15 -86 -14 -79 -10 -79 -6 -90 -6 -93 -6 -83 -4 -76 -1 -71 0 -72 -7 -77 -15 -77 -23 -79 -33 -82 -37 -85 -5 -28 -15 -94 -14 -95 -13 -91 -13 -86 -13 -86 -13 -88 -13 -83 -15 -80 -20 -78 -27 -79 -30 -77 -28 -75 -28 -84 -30 -88 -34 -82 -38 -79 -33 -80 -25 -82 -21 -79 -15 -75 -11 -70 -10 -59 -15 -51 -24 -50 -20 -45 -12 -38 -3 -30 1 -21 1 -2 0 0 -1 0 -1 1 0 -1 0 -3 2 -7 16 -39 12 -34 -1 -29 2 -30 6 -39 6 -46 2 -50 -4 -56 -7 -58 -5 -58 2 -62 5 -69 8 -80 8 -82 10 -80 13 -84 16 -84 17 -86 15 -85 12 -78 13 -74 12 -70 13 -72 9 -77 4 -80 0 -84 -5 -87 -11 -88
1788817292.548251,CSI_DATA,21559,1a:00:00:00:00:00,-1,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,105487947,0,47,1,256,1,47 -16 2 0 -79 -52 -88 -44 -94 -33 -85 -36 -78 -39 -80 -35 -81 -35 -76 -32 -80 -20 -94 -7 -93 -5 -89 -13 -93 -25 -99 -29 -99 -33 -90 -35 -89 -29 -79 -27 -63 -26 -64 -27 -61 -23 -52 -19 -49 -16 -42 -3 -36 3 -9 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -5 -35 -13 -27 -15 -34 -36 -48 -53 -41 -42 -35 -28 -44 -29 -53 -35 -59 -38 -59 -43 -62 -52 -69 -53 -68 -49 -64 -52 -65 -61 -66 -75 -50 -81 -38 -71 -50 -69 -58 -61 -52 -52 -43 -50 -51 -43 -77 -37 -91 -40 -86 -47 -9 -23 -38 -68 -39 -70 -41 -67 -46 -61 -48 -61 -46 -59 -44 -59 -46 -61 -49 -64 -51 -61 -53 -53 -54 -45 -54 -43 -59 -47 -61 -51 -61 -59 -53 -61 -50 -59 -48 -58 -43 -52 -40 -46 -38 -42 -34 -37 -33 -33 -30 -28 -30 -26 -9 -42 -7 -43 -1 -9 -1 -4 0 0 -1 1 0 -1 1 -2 2 -8 10 -39 5 -36 -17 -21 -14 -30 -13 -40 -12 -50 -11 -49 -15 -45 -23 -45 -24 -49 -23 -55 -20 -64 -19 -68 -17 -64 -12 -62 -11 -66 -13 -68 -11 -73 -7 -77 -6 -71 -11 -66 -19 -62 -21 -63 -20 -66 -20 -65 -28 -64 -38 -64 -42 -62
