host_ts,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data
1788827819.741475,CSI_DATA,843970,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,668014,0,47,1,128,1,17 -12 56 -40 55 -41 53 -41 52 -42 49 -44 47 -45 44 -47 41 -48 40 -49 40 -51 38 -53 36 -54 34 -55 34 -57 34 -58 35 -60 35 -60 36 -60 36 -60 36 -59 37 -57 39 -54 41 -51 44 -49 47 -46 49 -41 61 -23 63 -17 11 -3 3 -1 -2 0 -2 1 -1 0 1 -3 5 -7 30 -38 33 -36 31 -39 35 -38 39 -37 43 -37 46 -35 49 -34 51 -33 54 -32 57 -30 60 -29 62 -27 63 -25 63 -24 63 -25 63 -25 63 -25 62 -27 61 -28 60 -30 59 -32 59 -33 59 -34 59 -34 60 -36 60 -37 59 -38
1788827819.751351,CSI_DATA,843971,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,678025,0,47,1,128,1,-28 -1 -90 1 -88 1 -87 2 -85 4 -83 7 -82 11 -79 15 -78 17 -77 20 -78 25 -77 29 -76 32 -76 34 -78 34 -79 34 -80 34 -80 33 -81 33 -82 33 -82 32 -81 29 -80 25 -80 23 -81 21 -82 15 -83 8 -83 -15 -81 -23 -15 -5 -5 -3 1 -1 1 -1 1 -1 -3 1 -10 5 -55 26 -58 21 -61 20 -65 15 -69 10 -72 5 -74 1 -76 -2 -78 -5 -79 -7 -82 -10 -84 -11 -86 -12 -86 -12 -86 -14 -87 -17 -86 -19 -85 -20 -85 -19 -85 -17 -84 -15 -85 -12 -86 -9 -87 -8 -87 -5 -89 -2 -91 1 -90 2
1788827819.7609038,CSI_DATA,843972,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,688058,0,47,1,128,1,-7 25 -20 85 -19 85 -17 84 -14 84 -11 83 -9 82 -5 80 -2 79 2 79 5 79 9 80 11 79 14 80 16 81 18 83 18 85 18 86 17 87 16 87 14 85 11 84 8 82 4 82 1 83 -4 83 -10 82 -27 79 -35 75 -7 13 -3 3 0 -2 -1 -2 0 -2 1 2 2 10 8 60 3 62 2 63 -3 65 -8 68 -13 69 -17 71 -21 72 -24 74 -28 75 -32 75 -35 76 -37 77 -39 77 -40 77 -41 77 -40 76 -39 77 -38 78 -36 78 -34 77 -32 78 -30 80 -29 81 -27 82 -26 85 -25 86 -24 86
1788827819.781447,CSI_DATA,843973,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,708252,0,47,1,128,1,24 -20 77 -65 75 -65 73 -65 70 -66 67 -68 64 -69 59 -70 55 -72 52 -74 48 -79 44 -83 40 -84 39 -87 39 -89 39 -90 40 -91 41 -90 43 -91 45 -91 46 -89 48 -86 48 -83 49 -81 52 -80 57 -76 62 -71 75 -56 80 -49 14 -8 4 -2 -2 0 -1 1 -1 0 0 -4 3 -12 26 -62 33 -61 41 -61 47 -60 54 -59 60 -56 64 -54 70 -52 74 -50 78 -47 80 -46 83 -46 85 -48 86 -47 87 -46 88 -45 88 -44 88 -43 88 -45 86 -45 85 -46 84 -49 83 -51 82 -54 80 -57 80 -61 80 -64 79 -65
1788827819.78893,CSI_DATA,843974,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,715616,0,47,1,128,1,-23 15 -72 51 -71 52 -70 53 -67 54 -64 56 -60 57 -56 59 -53 61 -51 62 -50 65 -48 66 -46 67 -44 69 -43 72 -42 74 -43 76 -43 76 -44 77 -44 77 -45 75 -47 73 -49 69 -52 66 -55 64 -59 60 -62 55 -71 42 -74 35 -14 5 -5 1 0 -1 1 -2 1 -1 -2 2 -8 7 -39 44 -42 45 -43 47 -48 47 -52 46 -57 43 -61 42 -65 43 -69 42 -72 39 -75 37 -79 35 -81 33 -82 30 -82 29 -82 29 -81 30 -81 31 -81 33 -80 35 -78 37 -77 39 -77 42 -77 43 -77 43 -78 45 -78 47 -76 46
1788827819.8125498,CSI_DATA,843975,1a:00:00:00:00:00,-29,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,739078,0,47,1,128,1,23 -13 78 -40 77 -42 76 -43 74 -44 72 -46 68 -47 64 -51 61 -53 58 -56 57 -60 56 -62 54 -63 53 -59 53 -55 51 -64 50 -71 51 -76 52 -82 53 -77 53 -71 55 -67 58 -64 61 -61 64 -59 66 -54 69 -48 72 -44 76 -37 14 -6 4 -2 -2 0 -2 1 -1 0 1 -4 6 -9 38 -48 42 -45 51 -39 55 -37 60 -35 64 -33 67 -30 71 -29 74 -27 77 -25 80 -22 84 -19 86 -16 86 -14 85 -13 84 -14 83 -15 83 -17 84 -21 83 -22 82 -23 82 -25 83 -28 83 -30 83 -31 84 -33 84 -34 83 -33
1788827819.8182242,CSI_DATA,843976,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,740395,0,47,1,128,1,-23 14 -72 49 -72 46 -72 46 -67 48 -63 51 -58 53 -55 56 -52 58 -52 60 -50 63 -47 66 -43 68 -41 70 -42 71 -43 70 -44 71 -43 71 -43 74 -42 74 -43 74 -46 72 -49 70 -48 65 -50 64 -54 60 -58 56 -74 30 -77 24 -15 3 -6 0 1 -2 0 -2 0 -1 -2 3 -7 10 -34 53 -40 48 -41 47 -48 45 -53 42 -58 40 -62 38 -65 37 -68 38 -72 35 -75 32 -79 32 -81 34 -78 33 -78 32 -79 31 -80 29 -80 27 -81 27 -79 27 -78 30 -76 36 -76 40 -76 43 -75 44 -76 46 -75 50 -71 51
1788827819.823791,CSI_DATA,843977,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,740783,0,47,1,128,1,14 -20 40 -66 38 -65 35 -63 33 -62 31 -63 30 -66 27 -69 25 -70 22 -69 20 -67 18 -65 17 -64 18 -66 18 -69 16 -72 15 -74 15 -73 17 -74 20 -78 22 -78 25 -76 27 -72 28 -67 29 -63 34 -58 39 -54 79 -27 80 -19 14 -3 4 0 -1 0 -1 1 -1 0 0 -4 4 -9 27 -52 34 -50 8 -52 13 -53 17 -55 20 -55 23 -56 28 -58 32 -60 35 -61 37 -61 37 -59 39 -55 42 -51 44 -51 47 -52 48 -52 48 -54 46 -55 44 -56 44 -56 45 -60 46 -63 45 -63 41 -62 38 -60 39 -60 41 -59
1788827819.837572,CSI_DATA,843978,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,763630,0,47,1,128,1,-13 -25 -42 -80 -43 -79 -44 -77 -45 -75 -47 -72 -49 -68 -51 -65 -53 -62 -56 -61 -60 -60 -62 -58 -63 -55 -65 -54 -67 -53 -69 -54 -70 -55 -70 -55 -71 -55 -71 -56 -70 -56 -67 -58 -63 -60 -61 -62 -58 -65 -53 -68 -47 -70 -34 -75 -27 -77 -5 -15 -1 -5 0 1 1 0 0 0 -4 -2 -9 -7 -49 -38 -46 -43 -44 -51 -41 -56 -38 -60 -36 -64 -34 -68 -32 -72 -30 -75 -28 -77 -26 -81 -24 -84 -23 -86 -21 -86 -19 -86 -18 -86 -19 -86 -20 -86 -22 -86 -23 -85 -24 -83 -28 -82 -31 -83 -33 -83 -34 -83 -36 -84 -38 -85 -39 -83
1788827819.8432488,CSI_DATA,843979,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,770151,0,47,1,128,1,-4 26 -10 87 -10 87 -8 85 -5 84 -2 83 2 82 6 80 9 79 13 79 17 79 21 79 22 77 24 78 25 79 27 81 27 82 27 82 28 83 28 84 27 83 23 82 19 81 16 81 13 83 7 83 1 82 -19 82 -26 80 -6 14 -3 4 -1 -2 -1 -2 -1 -2 1 2 4 9 20 57 14 60 9 63 4 66 -2 69 -6 71 -9 73 -13 75 -16 77 -19 77 -22 79 -24 81 -26 83 -27 82 -29 82 -30 82 -31 81 -31 81 -30 82 -28 82 -26 81 -22 82 -20 84 -18 85 -17 85 -15 87 -13 89 -11 89
