host_ts,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_format,len,first_word,data
1788822052.828224,CSI_DATA,267274,1a:00:00:00:00:00,-27,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,641777,0,47,1,256,1,47 -16 2 0 11 -96 11 -96 9 -96 1 -97 -13 -98 -22 -95 -25 -91 -24 -90 -16 -94 -7 -99 -6 -98 -13 -97 -24 -97 -28 -98 -28 -101 -29 -103 -34 -104 -41 -101 -43 -98 -39 -97 -31 -97 -14 -101 4 -104 13 -101 15 -98 3 -25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -14 12 -56 14 -59 16 -65 19 -68 24 -69 26 -71 23 -75 22 -76 28 -75 40 -73 52 -71 56 -69 55 -68 51 -68 43 -72 41 -76 40 -75 38 -77 33 -84 21 -90 13 -91 16 -89 26 -89 36 -91 36 -92 31 -94 11 -25 32 -81 32 -81 30 -79 27 -78 21 -79 15 -81 10 -81 7 -81 4 -81 6 -83 7 -86 6 -88 5 -91 2 -92 -1 -93 -2 -93 -1 -92 -3 -91 -5 -94 -3 -92 1 -90 5 -86 12 -86 19 -87 27 -85 32 -80 67 -67 72 -58 12 -10 4 -2 -1 0 -1 1 -1 0 0 -3 1 -8 15 -45 22 -46 21 -49 25 -50 29 -51 30 -51 32 -53 35 -55 37 -55 38 -56 40 -57 44 -57 50 -56 54 -55 56 -55 57 -55 55 -55 53 -58 51 -60 48 -61 44 -63 41 -66 39 -67 40 -68 41 -69 42 -73 41 -77 41 -79
1788822052.838697,CSI_DATA,267275,1a:00:00:00:00:00,-27,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,656008,0,47,1,256,1,47 -16 2 0 -80 1 -80 1 -81 2 -80 7 -77 17 -75 24 -73 26 -72 26 -75 21 -77 15 -76 14 -75 17 -74 26 -73 34 -76 35 -79 33 -78 36 -73 42 -72 44 -73 41 -75 35 -79 21 -81 7 -81 0 -80 -1 -20 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -2 -52 -7 -54 -8 -57 -9 -59 -12 -60 -14 -62 -15 -66 -14 -68 -13 -68 -17 -66 -29 -64 -41 -63 -44 -63 -44 -63 -42 -65 -34 -68 -27 -68 -26 -69 -25 -73 -20 -77 -11 -78 -5 -78 -6 -78 -16 -78 -24 -79 -24 -79 -20 -24 2 -76 7 -76 11 -75 12 -74 13 -73 14 -72 17 -70 20 -69 23 -66 27 -63 32 -61 35 -58 38 -58 39 -61 41 -64 43 -67 42 -70 40 -71 40 -71 38 -71 36 -71 33 -69 32 -68 31 -68 27 -69 22 -70 17 -70 20 -72 12 -14 1 -5 0 0 -1 0 -2 0 -1 -2 1 -5 6 -31 35 -34 32 -44 11 -48 7 -52 3 -55 0 -58 -2 -60 -6 -63 -9 -65 -10 -66 -9 -66 -9 -65 -8 -65 -8 -64 -8 -65 -11 -66 -12 -69 -11 -71 -11 -71 -11 -70 -10 -71 -9 -73 -7 -73 -3 -72 0 -71 5 -71 9 -70 11
1788822052.8476522,CSI_DATA,267276,1a:00:00:00:00:00,-27,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,663231,0,47,1,256,1,47 -16 2 0 27 75 27 75 27 67 32 65 36 66 37 62 40 61 40 57 41 47 48 45 55 48 63 54 63 56 54 56 54 57 56 54 57 56 55 59 52 58 52 60 47 58 45 50 48 50 48 59 46 66 11 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 9 21 45 19 51 16 54 14 57 11 59 8 63 6 64 4 65 3 65 8 61 12 64 13 70 14 72 11 77 6 78 1 74 0 72 3 69 7 72 11 74 13 73 14 70 19 64 27 67 34 75 36 80 -3 21 -3 69 -4 68 -3 67 -1 64 2 63 4 61 5 61 7 61 9 61 13 60 19 59 24 59 28 59 29 61 26 63 24 64 24 62 24 63 22 63 19 64 17 64 14 65 14 62 13 62 11 63 6 63 -32 60 -37 56 -8 9 -3 2 0 -2 -1 -2 0 -1 0 2 0 8 4 46 0 48 7 44 3 48 0 50 -3 51 -6 51 -9 52 -12 54 -16 56 -19 56 -20 57 -17 60 -16 60 -17 60 -18 63 -20 63 -21 61 -21 61 -19 58 -17 59 -14 60 -12 62 -11 64 -10 64 -6 66 -2 68 2 67
1788822052.858251,CSI_DATA,267277,1a:00:00:00:00:00,-28,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,684626,0,47,1,256,1,47 -16 2 0 -83 -32 -83 -31 -81 -28 -82 -25 -84 -19 -82 -13 -81 -10 -79 -8 -78 -7 -81 -9 -84 -8 -88 -5 -89 0 -88 1 -89 1 -90 2 -93 1 -94 2 -90 2 -89 0 -85 -4 -81 -10 -83 -18 -84 -24 -85 -28 -22 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -4 -58 -16 -60 -19 -61 -22 -61 -26 -62 -31 -65 -36 -67 -37 -67 -37 -65 -40 -62 -45 -63 -52 -64 -56 -62 -57 -63 -57 -65 -55 -66 -52 -66 -51 -65 -49 -69 -49 -73 -44 -74 -39 -73 -38 -71 -40 -75 -44 -81 -45 -85 -45 -24 -8 -77 -25 -78 -23 -79 -22 -78 -19 -79 -17 -78 -15 -77 -11 -77 -9 -79 -6 -80 0 -79 4 -78 6 -77 8 -78 9 -81 10 -84 9 -86 8 -88 6 -87 3 -87 1 -85 -1 -84 -4 -81 -4 -81 -8 -79 -13 -78 -19 -71 -22 -70 -28 -13 -6 -5 -3 1 0 1 -1 0 -1 -3 1 -10 4 -49 24 -50 18 -52 -2 -55 -7 -57 -11 -59 -14 -61 -18 -63 -24 -64 -28 -67 -32 -67 -35 -68 -36 -70 -36 -68 -37 -66 -37 -63 -38 -65 -39 -66 -39 -69 -39 -69 -39 -68 -37 -69 -35 -73 -34 -74 -32 -76 -31 -77 -29 -78 -27 -78 -26
1788822052.869083,CSI_DATA,267278,1a:00:00:00:00:00,-28,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,685748,0,47,1,256,1,47 -16 2 0 -5 -81 -8 -79 -8 -77 -8 -74 -10 -73 -11 -75 -12 -73 -16 -74 -22 -76 -28 -74 -31 -71 -31 -69 -31 -70 -32 -73 -32 -75 -32 -77 -28 -76 -24 -77 -21 -78 -19 -78 -17 -79 -17 -82 -15 -80 -10 -76 -5 -73 -1 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -13 -16 -51 -14 -53 -12 -57 -10 -60 -7 -63 -1 -63 5 -65 9 -68 11 -71 11 -75 11 -77 12 -76 11 -75 11 -72 12 -71 13 -74 13 -74 12 -74 11 -73 10 -73 10 -76 9 -78 6 -81 -1 -82 -3 -80 -1 -79 3 -23 9 -72 8 -73 7 -72 5 -72 2 -72 0 -73 -3 -70 -4 -68 -6 -67 -9 -69 -12 -70 -14 -70 -15 -71 -18 -72 -19 -73 -20 -74 -20 -75 -17 -76 -16 -79 -14 -78 -11 -74 -7 -70 -4 -72 -2 -72 3 -71 8 -69 26 -67 32 -64 6 -12 2 -3 -1 0 0 1 0 0 -2 -3 -3 -8 -12 -44 -9 -45 -10 -49 -7 -51 -4 -54 -1 -56 3 -59 7 -60 11 -62 14 -61 19 -62 21 -63 22 -64 24 -66 25 -66 25 -66 23 -64 23 -66 22 -68 22 -69 20 -69 17 -69 15 -69 15 -70 15 -70 15 -71 15 -73 15 -76
1788822052.879661,CSI_DATA,267279,1a:00:00:00:00:00,-29,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,694528,0,47,1,256,1,47 -16 2 0 -24 -87 -30 -86 -31 -85 -27 -84 -20 -86 -17 -86 -21 -84 -29 -80 -42 -74 -55 -68 -61 -65 -61 -67 -59 -71 -60 -72 -62 -73 -60 -76 -53 -81 -42 -87 -34 -90 -32 -90 -32 -88 -39 -84 -47 -82 -43 -83 -34 -86 -8 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -13 -33 -54 -29 -58 -25 -62 -23 -65 -20 -68 -13 -72 -1 -76 5 -79 5 -81 -2 -83 -11 -86 -12 -87 -11 -87 -8 -87 -3 -87 -5 -87 -7 -86 -5 -84 0 -85 6 -87 8 -88 3 -88 -10 -87 -25 -87 -29 -89 -25 -91 -6 -26 -18 -84 -20 -83 -23 -82 -24 -80 -26 -78 -28 -78 -30 -75 -33 -73 -35 -72 -37 -72 -39 -71 -41 -71 -44 -73 -47 -74 -51 -73 -53 -74 -51 -75 -50 -76 -49 -79 -45 -80 -41 -80 -36 -78 -32 -79 -29 -81 -23 -83 -16 -83 -1 -85 5 -82 1 -15 1 -5 0 0 0 1 0 0 -2 -2 -5 -8 -26 -44 -23 -49 -23 -54 -21 -58 -18 -60 -17 -62 -16 -64 -13 -69 -8 -71 -5 -73 -3 -75 0 -76 3 -79 7 -80 9 -81 8 -82 6 -82 3 -83 0 -83 -2 -82 -3 -81 -3 -81 -3 -83 -4 -83 -6 -81 -8 -83 -9 -86 -8 -89
1788822052.8900008,CSI_DATA,267280,1a:00:00:00:00:00,-30,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,706024,0,47,1,256,1,47 -16 2 0 59 -44 58 -47 59 -48 59 -50 54 -53 49 -55 46 -56 43 -55 46 -55 50 -56 48 -56 45 -58 41 -64 37 -70 38 -73 45 -74 47 -75 44 -74 44 -71 45 -69 47 -65 55 -58 64 -51 67 -47 67 -44 16 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -7 37 -27 39 -29 41 -30 45 -30 48 -28 53 -27 56 -27 56 -26 58 -24 63 -16 69 -10 71 -8 70 -7 68 -9 66 -15 65 -22 65 -24 66 -23 68 -27 67 -31 63 -33 62 -33 65 -28 70 -25 72 -27 72 -28 9 -18 33 -54 30 -54 28 -55 28 -56 28 -56 29 -56 28 -57 24 -58 18 -58 12 -59 6 -59 2 -58 0 -60 0 -64 0 -67 2 -70 7 -70 10 -71 13 -74 17 -73 21 -71 19 -69 17 -65 17 -62 20 -60 25 -58 4 -74 12 -73 3 -13 0 -5 -1 0 0 1 0 0 -2 -2 -4 -7 -19 -38 -15 -40 10 -35 14 -37 18 -39 23 -39 26 -38 30 -38 36 -38 38 -38 39 -38 38 -37 36 -38 33 -37 34 -38 37 -39 39 -40 40 -41 41 -42 41 -42 44 -42 45 -43 44 -46 40 -47 35 -46 33 -48 31 -49 29 -48
1788822052.899029,CSI_DATA,267281,1a:00:00:00:00:00,-31,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,722067,0,47,1,256,1,47 -16 2 0 25 86 28 88 31 88 37 90 43 87 47 79 48 75 47 71 47 72 50 77 50 78 53 79 58 79 61 79 63 83 64 87 68 92 70 90 66 85 61 85 51 84 43 87 37 96 30 100 25 101 6 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 10 20 46 20 50 18 54 17 58 15 61 15 68 16 71 14 69 10 68 5 72 1 80 -1 83 -3 82 -4 81 -1 81 1 81 2 83 2 84 7 89 13 90 17 84 16 80 15 82 14 90 17 94 22 97 17 18 52 62 50 61 50 60 53 57 56 55 60 50 62 44 63 41 62 41 64 45 66 49 65 50 70 49 74 46 78 45 80 44 81 44 81 46 85 46 83 43 78 45 69 50 63 59 59 67 55 73 50 77 68 70 60 73 9 12 1 4 -2 -1 -2 -1 -1 -1 1 -1 6 0 40 9 42 14 34 29 34 32 34 35 33 37 32 40 35 44 37 46 35 48 31 51 27 57 23 63 22 66 22 67 26 69 27 66 30 65 31 65 33 63 36 62 40 60 43 58 43 58 40 60 39 67 40 71 42 71
1788822052.908134,CSI_DATA,267282,1a:00:00:00:00:00,-31,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,722245,0,47,1,256,1,47 -16 2 0 92 25 89 22 88 19 84 14 84 11 90 8 92 6 96 3 102 -3 98 -7 94 -10 92 -10 95 -10 100 -12 103 -12 106 -10 100 -7 98 -6 104 -4 105 -1 111 4 115 10 109 15 99 21 92 25 22 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 1 53 6 52 10 55 13 58 17 59 21 56 23 57 26 63 30 69 36 74 41 71 42 69 42 70 43 66 41 66 41 69 42 68 41 69 40 69 36 72 34 78 36 85 37 90 37 89 33 87 30 82 29 13 19 49 58 49 57 48 53 51 50 54 47 58 44 63 39 65 38 63 35 63 34 63 36 61 38 64 40 68 39 72 37 73 36 75 36 76 38 78 39 80 37 78 39 71 41 66 49 59 54 51 57 46 61 2 97 -7 96 -2 16 -2 4 -1 -1 -1 -1 -1 -1 1 1 4 5 24 33 22 37 32 25 31 28 31 32 31 35 32 39 32 41 34 43 35 46 35 50 33 51 29 53 26 56 26 57 26 60 26 60 27 61 30 60 32 57 34 53 39 53 44 52 45 54 46 54 44 56 42 58 41 60
1788822052.918402,CSI_DATA,267283,1a:00:00:00:00:00,-29,11,1,0,0,1,1,0,0,0,0,-96,0,6,0,731878,0,47,1,256,1,47 -16 2 0 61 -47 59 -49 59 -50 57 -50 55 -50 53 -53 51 -53 49 -57 50 -64 46 -67 40 -65 38 -62 39 -64 41 -69 43 -72 46 -74 48 -72 50 -69 52 -68 52 -65 54 -63 58 -64 60 -61 59 -53 59 -47 15 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -8 33 -30 34 -29 38 -29 41 -29 44 -28 48 -25 52 -24 54 -23 57 -23 62 -24 65 -24 64 -23 62 -23 59 -21 59 -21 62 -23 63 -24 64 -25 63 -26 62 -28 63 -31 64 -33 67 -36 66 -41 63 -42 63 -40 14 -17 48 -51 49 -52 47 -52 45 -52 42 -53 39 -55 36 -57 33 -58 34 -60 35 -62 32 -65 29 -65 28 -67 28 -70 29 -73 29 -72 30 -71 30 -71 31 -73 33 -72 34 -69 36 -64 41 -63 45 -62 49 -57 51 -51 51 -56 54 -50 9 -9 3 -2 -1 0 -1 0 -1 0 0 -2 1 -7 9 -36 13 -36 25 -32 28 -32 31 -32 32 -32 35 -32 38 -31 41 -30 43 -30 46 -30 49 -30 53 -29 54 -28 54 -28 54 -29 54 -29 55 -31 54 -33 53 -33 52 -34 51 -37 51 -38 52 -39 53 -41 53 -43 53 -46 53 -47
